recence,frequence,montant_total,montant_moyen,montant_std,anciennete_jours,freq_hebdo_moyenne,pct_achat_credit,pct_depot,pct_paiement_facture,pct_retrait,pct_transfert,cv_montant,cluster_kmeans,cluster_cha
7,3,508500.0,169500.0,25548.972582082435,161,0.13043478260869565,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.15073140166420315,4,5
144,2,20500.0,10250.0,3181.9805153394636,157,0.089171974522293,0.5,0.0,0.0,0.5,0.0,0.31043712344775254,4,3
31,2,189000.0,94500.0,11313.70849898476,97,0.14432989690721648,0.0,0.5,0.0,0.0,0.5,0.1197217830580398,2,5
29,15,1817000.0,121133.33333333333,78085.91117358832,177,0.5932203389830508,0.0,0.0,0.6,0.26666666666666666,0.13333333333333333,0.6446277752360071,3,1
3,20,635500.0,31775.0,18733.220562187886,171,0.8187134502923977,0.15,0.15,0.05,0.4,0.25,0.5895584755999335,0,2
116,2,14000.0,7000.0,4242.640687119285,148,0.0945945945945946,0.5,0.0,0.0,0.0,0.5,0.6060915267313264,1,3
182,1,417000.0,417000.0,0.0,182,0.038461538461538464,0.0,0.0,0.0,0.0,1.0,0.0,6,6
86,2,141500.0,70750.0,37123.10601229374,160,0.0875,0.0,0.5,0.0,0.0,0.5,0.5247082121878974,2,5
7,19,913000.0,48052.63157894737,25129.605568400628,165,0.806060606060606,0.05263157894736842,0.3684210526315789,0.05263157894736842,0.15789473684210525,0.3684210526315789,0.5229600282580634,0,2
7,22,16512000.0,750545.4545454546,524355.0439551546,182,0.8461538461538461,0.045454545454545456,0.8181818181818182,0.0,0.045454545454545456,0.09090909090909091,0.698631962634048,5,0
48,1,17000.0,17000.0,0.0,48,0.14583333333333334,0.0,0.0,0.0,1.0,0.0,0.0,4,4
45,5,38500.0,7700.0,3684.426685388108,159,0.220125786163522,0.4,0.0,0.0,0.2,0.4,0.4784969721283257,1,3
16,14,1388000.0,99142.85714285714,32851.313386359325,176,0.5568181818181819,0.0,0.07142857142857142,0.5,0.21428571428571427,0.21428571428571427,0.3313533050497338,3,1
26,1,132000.0,132000.0,0.0,26,0.2692307692307692,0.0,0.0,1.0,0.0,0.0,0.0,2,6
22,4,54500.0,13625.0,9312.849546012578,171,0.16374269005847955,0.25,0.25,0.0,0.5,0.0,0.6835118932853268,4,5
88,4,75000.0,18750.0,6812.977811989898,166,0.1686746987951807,0.0,0.0,0.0,0.75,0.25,0.36335881663946124,4,5
3,16,16966000.0,1060375.0,639915.4501442619,153,0.7320261437908496,0.0,0.4375,0.1875,0.1875,0.1875,0.6034803254926436,5,0
18,18,731500.0,40638.88888888889,14987.058687566921,181,0.6961325966850829,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.3687861331185298,0,2
79,2,222500.0,111250.0,92984.541726031,83,0.1686746987951807,0.0,0.0,0.5,0.0,0.5,0.8358161054025259,2,5
27,24,2604500.0,108520.83333333333,41106.82773252984,174,0.9655172413793103,0.0,0.08333333333333333,0.8333333333333334,0.0,0.08333333333333333,0.37879203900200276,3,1
12,3,255500.0,85166.66666666667,36387.95588286505,177,0.11864406779661017,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4272558420688655,2,5
88,3,31500.0,10500.0,866.0254037844386,135,0.15555555555555556,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.08247860988423225,6,3
10,5,30500.0,6100.0,2133.0729007701543,164,0.2134146341463415,0.2,0.4,0.2,0.0,0.2,0.3496840820934679,2,3
151,1,180500.0,180500.0,0.0,151,0.04635761589403973,0.0,0.0,0.0,0.0,1.0,0.0,6,6
14,2,822000.0,411000.0,197282.79195104676,39,0.358974358974359,0.0,0.0,0.5,0.0,0.5,0.4800067930682403,3,5
2,16,1310525.3202376454,81907.83251485284,165489.50769055673,181,0.6187845303867403,0.0625,0.25,0.1875,0.375,0.125,2.0204356849578153,0,0
4,15,11308000.0,753866.6666666666,378397.5359831182,170,0.6176470588235294,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.5019422567869449,5,0
15,18,748000.0,41555.555555555555,20166.869226012375,181,0.6961325966850829,0.0,0.16666666666666666,0.05555555555555555,0.3333333333333333,0.4444444444444444,0.4852989920698165,0,2
2,18,620000.0,34444.444444444445,20036.649427023418,170,0.7411764705882353,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.3333333333333333,0.581709176913583,0,2
